// Pharaoh_Unloaded.sg3
INFO: 0 --- system.bmp:1, 0x0, type 0
INFO: 1 --- system.bmp:2, 32x32, type 13
INFO: 2 --- system.bmp:3, 32x32, type 0
INFO: 3 --- system.bmp:4, 32x32, type 0
INFO: 4 --- system.bmp:5, 32x32, type 0
INFO: 5 --- system.bmp:6, 32x32, type 0
INFO: 6 --- system.bmp:7, 16x16, type 10
INFO: 7 --- system.bmp:8, 16x16, type 10
INFO: 8 --- system.bmp:9, 16x16, type 10
INFO: 9 --- system.bmp:10, 16x16, type 10
INFO: 10 --- system.bmp:11, 16x16, type 10
INFO: 11 --- system.bmp:12, 16x16, type 10
INFO: 12 --- system.bmp:13, 16x16, type 10
INFO: 13 --- system.bmp:14, 16x16, type 10
INFO: 14 --- system.bmp:15, 16x16, type 10
INFO: 15 --- system.bmp:16, 24x24, type 12
INFO: 16 --- system.bmp:17, 24x24, type 12
INFO: 17 --- system.bmp:18, 24x24, type 12
INFO: 18 --- system.bmp:19, 24x24, type 12
INFO: 19 --- system.bmp:20, 24x24, type 12
INFO: 20 --- system.bmp:21, 24x24, type 12
INFO: 21 --- system.bmp:22, 24x24, type 12
INFO: 22 --- system.bmp:23, 24x24, type 12
INFO: 23 --- system.bmp:24, 24x24, type 12
INFO: 24 --- system.bmp:25, 24x24, type 12
INFO: 25 --- system.bmp:26, 24x24, type 12
INFO: 26 --- system.bmp:27, 24x24, type 12
INFO: 27 --- system.bmp:28, 5x9, type 20
INFO: 28 --- system.bmp:29, 4x9, type 20
INFO: 29 --- system.bmp:30, 4x9, type 20
INFO: 30 --- system.bmp:31, 4x9, type 20
INFO: 31 --- system.bmp:32, 5x9, type 20
INFO: 32 --- system.bmp:33, 4x9, type 20
INFO: 33 --- system.bmp:34, 5x9, type 20
INFO: 34 --- system.bmp:35, 4x9, type 20
INFO: 35 --- system.bmp:36, 1x9, type 20
INFO: 36 --- system.bmp:37, 3x9, type 20
INFO: 37 --- system.bmp:38, 3x9, type 20
INFO: 38 --- system.bmp:39, 1x9, type 20
INFO: 39 --- system.bmp:40, 7x9, type 20
